code_type,code,canonical_icao,name
IATA,YEU,CYEU,Eureka Airport - Eureka - Canada
ICAO,CYEV,CYEV,Inuvik Mike Zubko Airport - Inuvik - Canada
IATA,YEV,CYEV,Inuvik Mike Zubko Airport - Inuvik - Canada
ICAO,CYFB,CYFB,Iqaluit Airport - Iqaluit - Canada
IATA,YFB,CYFB,Iqaluit Airport - Iqaluit - Canada
ICAO,CYFC,CYFC,Fredericton Airport - Fredericton - Canada
IATA,YFC,CYFC,Fredericton Airport - Fredericton - Canada
ICAO,CYFE,CYFE,Forestville Airport - Forestville - Canada
IATA,YFE,CYFE,Forestville Airport - Forestville - Canada
ICAO,CYFO,CYFO,Flin Flon Airport - Flin Flon - Canada
IATA,YFO,CYFO,Flin Flon Airport - Flin Flon - Canada
ICAO,CYFR,CYFR,Fort Resolution Airport - Fort Resolution - Canada
IATA,YFR,CYFR,Fort Resolution Airport - Fort Resolution - Canada
ICAO,CYFS,CYFS,Fort Simpson Airport - Fort Simpson - Canada
IATA,YFS,CYFS,Fort Simpson Airport - Fort Simpson - Canada
ICAO,CYGK,CYGK,Kingston Norman Rogers Airport - Kingston - Canada
IATA,YGK,CYGK,Kingston Norman Rogers Airport - Kingston - Canada
ICAO,CYGL,CYGL,La Grande RiviÃ¨re Airport - La Grande Riviere - Canada
IATA,YGL,CYGL,La Grande RiviÃ¨re Airport - La Grande Riviere - Canada
ICAO,CYGP,CYGP,GaspÃ© (Michel-Pouliot) Airport - Gaspe - Canada
IATA,YGP,CYGP,GaspÃ© (Michel-Pouliot) Airport - Gaspe - Canada
ICAO,CYGQ,CYGQ,Geraldton Greenstone Regional Airport - Geraldton - Canada
IATA,YGQ,CYGQ,Geraldton Greenstone Regional Airport - Geraldton - Canada
ICAO,CYGR,CYGR,ÃŽles-de-la-Madeleine Airport - Iles De La Madeleine - Canada
IATA,YGR,CYGR,ÃŽles-de-la-Madeleine Airport - Iles De La Madeleine - Canada
ICAO,CYHB,CYHB,Hudson Bay Airport - Hudson Bay - Canada
IATA,YHB,CYHB,Hudson Bay Airport - Hudson Bay - Canada
ICAO,CYHD,CYHD,Dryden Regional Airport - Dryden - Canada
IATA,YHD,CYHD,Dryden Regional Airport - Dryden - Canada
ICAO,CYHI,CYHI,Ulukhaktok Holman Airport - Holman Island - Canada
IATA,YHI,CYHI,Ulukhaktok Holman Airport - Holman Island - Canada
ICAO,CYHK,CYHK,Gjoa Haven Airport - Gjoa Haven - Canada
IATA,YHK,CYHK,Gjoa Haven Airport - Gjoa Haven - Canada
ICAO,CYHM,CYHM,John C. Munro Hamilton International Airport - Hamilton - Canada
IATA,YHM,CYHM,John C. Munro Hamilton International Airport - Hamilton - Canada
ICAO,CYHU,CYHU,MontrÃ©al / Saint-Hubert Airport - Montreal - Canada
IATA,YHU,CYHU,MontrÃ©al / Saint-Hubert Airport - Montreal - Canada
ICAO,CYHY,CYHY,Hay River / Merlyn Carter Airport - Hay River - Canada
IATA,YHY,CYHY,Hay River / Merlyn Carter Airport - Hay River - Canada
