AirlineID,Name,Alias,IATA,ICAO,Country
173,Angara Airlines,\N,,AGU,Russia
174,Air Glaciers,\N,7T,AGV,Switzerland
175,Aero Gambia,\N,,AGW,Gambia
176,Aviogenex,\N,,AGX,Serbia
177,Atlantic Coast Airlines,\N,,BLR,United States
178,Aero Barloz,\N,,BLZ,Mexico
179,Aeroper,\N,PL,PLI,Peru
180,Atlas Blue,\N,8A,BMM,Morocco
181,Aero Banobras,\N,,BNB,Mexico
182,Aero Flight Service,\N,,AGY,United States
183,Agrolet-Mci,\N,,AGZ,Slovakia
184,Air Alpha Greenland,\N,GD,AHA,Denmark
185,Azal Avia Cargo,\N,,AHC,Azerbaijan
186,Airport Helicopter Basel,\N,,AHE,AIRPORT HELICOPTER
187,Aeroservices Corporate,\N,,CJE,France
188,Aspen Helicopters,\N,,AHF,United States
189,Aerochago Airlines,\N,,AHG,Dominican Republic
190,Airplanes Holdings,\N,,AHH,Ireland
191,Air Hong Kong,\N,LD,AHK,Hong Kong
192,Aerochiapas,\N,,AHP,Mexico
193,Air Adriatic,\N,,AHR,Croatia
194,Air Viggi San Raffaele,\N,,AHS,Italy
195,ABC Air Hungary,\N,,AHU,Hungary
196,Aeromist-Kharkiv,\N,HT,AHW,Ukraine
197,Azerbaijan Airlines,\N,J2,AHY,Azerbaijan
198,Avies,\N,U3,AIA,Estonia
199,Airbus Industrie,\N,AP,AIB,France
200,Alpine Air Chile,\N,,AIH,Chile
201,Air Integra,\N,,AII,Canada
202,ABC Aerolineas,\N,,AIJ,Mexico
203,African Airlines International Limited,\N,,AIK,Kenya
204,African International Airways,\N,,AIN,Swaziland
205,Alpine Air Express,\N,5A,AIP,United States
206,Alicante Internacional Airlines,\N,,AIU,Spain
207,Aba Air,\N,,ABP,Czech Republic
208,Airblue,\N,ED,ABQ,Pakistan
209,Airmark Aviation,\N,,THM,Thailand
210,Airlift International,\N,,AIR,United States
211,Airest,\N,,AIT,Estonia
212,Air Baffin,\N,,BFF,Canada
213,Air Bandama,\N,,BDM,Ivory Coast
214,Air Berlin,\N,AB,BER,Germany
215,Air Brousse,\N,,ABT,Canada
216,Air Contractors,\N,AG,ABR,Ireland
217,Air Illinois,\N,,AIL,United States
218,Air India Limited,\N,AI,AIC,India
219,Air Inter Gabon,\N,,AIG,Gabon
220,Air Bourbon,\N,ZB,BUB,Reunion
221,Air Atlanta Icelandic,\N,CC,ABD,Iceland
222,Air Inuit,\N,,AIE,Canada
223,Air Sureste,\N,,AIS,Spain
224,Air Srpska,\N,RB,SBK,Bosnia and Herzegovina
225,Air Tahiti Nui,\N,TN,THT,France
226,Airvias S/A Linhas Aereas,\N,,AIV,Brazil
227,Aero Services Executive,\N,W4,BES,France
228,Atlantic Island Airways,\N,,AIW,Canada
229,Aircruising Australia,\N,,AIX,Australia
230,Aircrew Check and Training Australia,\N,,AIY,Australia
231,Arkia Israel Airlines,\N,IZ,AIZ,Israel
232,A J Services,\N,,AJA,United Kingdom
233,Aero JBR,\N,,AJB,Mexico
234,Aero Jet Express,\N,,AJE,Mexico
235,Avia Consult Flugbetriebs,\N,,AJF,Austria
236,Ameristar Jet Charter,\N,,AJI,United States
237,A2 Jet Leasing,\N,,AJJ,United States
238,Allied Air,\N,,AJK,Nigeria
239,Air Jamaica,\N,JM,AJM,Jamaica
240,Air One,\N,AP,ADH,Italy
241,Air Sahara,\N,S2,RSH,India
242,Air Malta,\N,KM,AMC,Malta
243,Aeroejecutivo,\N,,AJO,Mexico
244,Aero Jets Corporativos,\N,,AJP,Mexico
245,Aeroejecutivos Colombia,\N,,AJS,Colombia
246,Amerijet International,\N,M6,AJT,United States
247,Air Jetsul,\N,,AJU,Portugal
248,ANA & JP Express,\N,,AJV,Japan
249,Alpha Jet International,\N,,AJW,United States
250,Air Japan,\N,NQ,AJX,Japan
251,Ajet,\N,,AJY,Cyprus
252,Air Korea Co. Ltd.,\N,,AKA,Republic of Korea
253,Air Livonia,\N,,LIV,Estonia
254,Air BC,\N,,ABL,Canada
255,Air Fret Senegal,\N,,ABN,Senegal
256,Air Jamahiriya Company,\N,,LJA,Libya
257,Aktjubavia,\N,,AKB,Kazakhstan
258,Arca Aerovias Colombianas Ltda.,\N,,AKC,Colombia
259,Anikay Air Company,\N,,AKF,Kyrgyzstan
260,Akhal,\N,,AKH,Turkmenistan
261,Aeromilenio,\N,,MNI,Mexico
262,Aklak Air,\N,,AKK,Canada
263,Air Kiribati,\N,4A,AKL,Kiribati
264,Alkan Air,\N,,AKN,Canada
265,Angkor Airways,\N,,AKW,Cambodia
266,Air Nippon Network Co. Ltd.,\N,EH,AKX,Japan
267,AK Navigator LLC,\N,,AKZ,Kazakhstan
268,Aero Albatros,\N,,ALB,Mexico
269,Albion Aviation,\N,,ALD,United Kingdom
270,Aeroalas Colombia,\N,,ALE,Colombia
271,Allied Command Europe (Mobile Force),\N,,ALF,Belgium
272,Aerotaxis Albatros,\N,,BTS,Mexico
273,American Flyers,\N,,FYS,United States
274,Aero Coach Aviation,\N,,DFA,United States
275,Atlantic Southeast Airlines,\N,,CAA,United States
276,ACM Air Charter,\N,,BVR,Germany
277,Air Logistics,\N,,ALG,United States
278,Aerovallarta,\N,,ALL,Mexico
279,Air ALM,\N,,ALM,Netherlands Antilles
280,Air Lincoln,\N,,ALN,United States
281,America West Airlines,\N,HP,AWE,United States
282,Air Wisconsin,\N,ZW,AWI,United States
283,Aerotransporte de Carga Union,\N,,TNO,Mexico
284,Aero Taxis Cessna,\N,,TND,Mexico
285,Arizona Express Airlines,\N,,TMP,United States
286,Tatarstan Airlines,\N,U9,TAK,Russia
287,Allegheny Commuter Airlines,\N,,ALO,United States
288,Alpliner AG,\N,,ALP,Switzerland
289,Altair Aviation (1986),\N,,ALQ,Canada
290,Air Luxor STP,\N,,ALU,Sao Tome and Principe
291,Alas de Venezuela,\N,,ALV,Venezuela
292,Alas Nacionales,\N,,ALW,ALNACIONAL
293,Alyeska Air Service,\N,,ALY,United States
294,Alta Flights (Charters) Ltd.,\N,,ALZ,Canada
295,Air Sunshine,\N,,RSI,United States
296,ATMA,\N,,AMA,Kazakhstan
297,Aerolineas Medellin,\N,,AMD,Colombia
298,Ameriflight,\N,,AMF,United States
299,Air Libert,\N,VD,,France
300,Air Lithuania,\N,TT,KLA,Lithuania
301,Air Minas Linhas A,\N,,AMG,Brazil
302,Alan Mann Helicopters Ltd.,\N,,AMH,United Kingdom
303,Air Maldives,\N,,AMI,Maldives
304,Aviation Amos,\N,,AMJ,Canada
305,Amerer Air,\N,,AMK,Austria
306,Air Malawi,\N,QM,AML,Malawi
307,Aeroputul International Marculesti,\N,,AMM,Moldova
308,Air Montenegro,\N,,AMN,Montenegro
309,Air Montreal (Air Holdings Inc.),\N,,AMO,Canada
310,Aero Transporte S.A. (ATSA),\N,,AMP,Peru
311,Aeromedicare Ltd.,\N,,AMQ,United Kingdom
312,Air Sicilia,\N,BM,,Italy
313,Air Specialties Corporation,\N,,AMR,United States
314,Air Muskoka,\N,,AMS,Canada
315,ATA Airlines,\N,,AMT,United States
316,Air Macau,\N,NX,AMU,Macao
317,AMC Airlines,\N,,AMV,Egypt
318,Air Midwest,\N,ZV,AMW,United States
319,Air Seychelles,\N,HM,SEY,Seychelles
320,Air Sofia,\N,,SFB,Bulgaria
321,AeroMéxico,\N,AM,AMX,Mexico
322,Air Ambar,\N,,AMY,Dominican Republic
323,Amiya Airline,\N,,AMZ,Nigeria
324,All Nippon Airways,ANA All Nippon Airways,NH,ANA,Japan
325,Air Navigation And Trading Co. Ltd.,\N,,ANB,United Kingdom
326,Anglo Cargo,\N,,ANC,United Kingdom
327,Air Nostrum,\N,YW,ANE,Spain
328,Air Niugini,\N,PX,ANG,Papua New Guinea
329,Air Arabia,\N,G9,ABY,United Arab Emirates
330,Air Canada,\N,AC,ACA,Canada
331,Airport Bratsk,\N,,BRP,Russia
332,Air Wings,\N,,BSB,Moldova
333,Air Baltic,\N,BT,BTI,Latvia
334,Alajnihah for Air Transport,\N,,ANH,Libya
335,Air Atlantic (Nig) Limited,\N,,ANI,Nigeria
336,Air Nippon,\N,EL,ANK,Japan
337,Antares Airtransport,\N,,ANM,ANTARES
338,Airnorth,\N,TL,ANO,Australia
339,Aerol,\N,,ANQ,Colombia
340,Andes Lineas Aereas,\N,,ANS,Argentina
341,Air North Charter - Canada,\N,4N,ANT,Canada
342,Air Nevada,\N,,ANV,United States
343,AOM French Airlines,\N,IW,AOM,France
344,Aviacion Del Noroeste,\N,,ANW,AVINOR
345,Air New Zealand,\N,NZ,ANZ,New Zealand
346,Avia Jaynar,\N,,SAP,Kazakhstan
347,Aero Servicios Empresariales,\N,,EMS,Mexico
348,Alcon Servicios Aereos,\N,,AOA,ALCON
349,AVCOM,\N,J6,AOC,Russia
350,Aero Vodochody,\N,,AOD,Czech Republic
351,Air One Executive,\N,,AOE,Italy
352,Atair Pty Ltd.,\N,,AOF,South Africa
353,Aero VIP,\N,2D,AOG,Argentina
354,Aeromundo Ejecutivo,\N,,MUN,Mexico
355,Aerolinea Muri,\N,,MUR,Mexico
356,Astoria,\N,,AOI,ASTORIA
357,Aero Rent JSC,\N,,NRO,Russia
358,Aeronord-Grup,\N,,NRP,Moldova
359,Aeroatlantico Colombia,\N,,AOK,Colombia
360,Angkor Airlines,\N,,AOL,Cambodia
361,Aero Entreprise,\N,,AON,France
362,As,\N,,AOO,COMPANY AS
363,Aeropiloto,\N,,AOP,Portugal
364,Aeroenlaces Nacionales,\N,,VIV,Mexico
365,Aerovis Airlines,\N,,VIZ,Ukraine
366,Avjet International (FZE),\N,,VJE,United Arab Emirates
367,Aerovista Gulf Express,\N,,VGF,United Arab Emirates
368,Air Vegas,\N,6V,VGA,United States
369,Almaver,\N,,VER,Mexico
370,Afro International Ent. Limited,\N,,AOR,Nigeria
371,Alitalia Express,\N,XM,SMX,Italy
372,Asia Overnight Express,\N,OE,AOT,Philippines
373,Air Tractor,\N,,AOU,Croatia
374,Aero Vision,\N,,AOV,France
375,Aerotaxi Del Valle,\N,,AOX,Colombia
376,Air Park Aviation Ltd.,\N,,APA,Canada
377,Airpac Airlines,\N,,APC,AIRPAC
378,Aeroservicios Monterrey,\N,,SVM,Mexico
379,Amapola Flyg AB,\N,,APF,Sweden
380,Air People International,\N,,APG,Thailand
381,Alpha Aviation,\N,,APH,AIRFLIGHT
382,ASA Pesada,\N,,API,ASA PESADA
383,Air Print,\N,,APJ,AIR PRINT
384,Atlantic Airlines,\N,,BJK,United States
385,Aerotransporte Petrolero,\N,,PET,Colombia
386,Aero Flight,\N,GV,ARF,Germany
387,ACM Aviation,\N,,BJT,United States
388,Aircompany Barcol,\N,,BKL,Russia
389,All Charter Limited,\N,,BLA,United Kingdom
390,Appalachian Flying Service,\N,,APL,APPALACHIAN
391,Airpac,\N,,APM,ALASKA PACIFIC
392,Aeropro,\N,,APO,Canada
393,Aerolineas Pacifico Atlantico,\N,,APP,AEROPERLAS
394,Aspen Aviation,\N,,APQ,United States
395,Aeropuma,\N,,APU,AEROPUMA
396,Air Plan International,\N,,APV,Democratic Republic of the Congo
397,Arrow Air,\N,JW,APW,United States
398,Apex Air Cargo,\N,,APX,United States
399,APA Internacional,\N,,APY,Dominican Republic
400,Aeroatlas,\N,,AQA,ATCO
401,Aquila Air Ltd.,\N,,AQL,Canada
402,Air Queensland,\N,,AQN,Australia
403,Aluminum Company Of America,\N,,AQO,United States
404,Aviones de Renta de Quintana Roo,\N,,AQT,AVIOQUINTANA
405,AirQuarius Aviation,\N,,AQU,South Africa
406,Aerodyne Charter Company,\N,,AQZ,United States
407,Arik Air,\N,W3,ARA,Nigeria
408,Avia Air N.V.,\N,,ARB,Aruba
409,Air Routing International Corp.,\N,,ARC,United States
410,Aerocondor,\N,2B,ARD,Portugal
411,Aires,\N,4C,ARE, S.A.
412,Aerolineas Argentinas,\N,AR,ARG,Argentina
413,Arrowhead Airways,\N,,ARH,United States
414,Aero Vics,\N,,ARI,Mexico
415,Aerojet de Costa Rica,\N,,ARJ,
416,Antillana De Navegacion Aerea,\N,,SUN,Dominican Republic
417,Aeroservicios De San Luis,\N,,SUO,Mexico
418,Aerosuper,\N,,SUP,Mexico
419,Aero Link Air Services S.L.,\N,,ARK,Spain
420,Airlec - Air Aquitaine Transport,\N,,ARL,France
421,Aeromarket Express,\N,,ARM,Spain
422,Arrow Aviation Ltd.,\N,,ARO,Canada
423,RPA-Aviataxi Ltd.,\N,,ARP,Russia
424,Air Klaipeda,\N,,KLD,Lithuania
425,Armstrong Air,\N,,ARQ,ARMSTRONG
426,Air Armenia,\N,QN,ARR,Armenia
427,Aeromet Servicios,\N,,ARS,Chile
428,Aerotal Aerolineas Territoriales de Colombia Ltda,\N,,ART,Colombia
429,Aravco Ltd.,\N,,ARV,United Kingdom
430,Aria,\N,,ARW,France
431,Air Xpress,\N,,ARX,AIREX
432,Airline Alania,\N,,OST,Russia
433,Air Tchad,\N,,HTT,Chad
434,Aerloineas de Techuacan,\N,,HUC,Mexico
435,Aerotransportes Huitzilin,\N,,HUT,Mexico
436,Aero Transportes Del Humaya,\N,,HUY,Mexico
437,Argosy Airways,\N,,ARY,United States
438,Air Resorts,\N,,ARZ,United States
439,Alaska Airlines,\N,AS,ASA,ALASKA
440,Air-Spray 1967 Ltd.,\N,,ASB,Canada
441,Air Star Corporation,\N,,ASC,Canada
442,Air Sinai,\N,4D,ASD,Egypt
443,Airstars,\N,PL,ASE,Russia
444,Air Schefferville,\N,,ASF,SCHEFF
445,African Star Airways (PTY) Ltd.,\N,,ASG,South Africa
446,Aerosun International,\N,,ASI,AEROSUN
447,Air Satellite,\N,,ASJ,Canada
448,Awesome Flight Services (PTY) Ltd.,\N,,ASM,South Africa
449,Air and Sea Transport,\N,,ASN,Russia
450,Aero Slovakia,\N,,ASO,Slovakia
451,Airsprint,\N,,ASP,Canada
452,Atlantic Southeast Airlines,\N,EV,ASQ,United States
453,All Star Airlines,\N,,ASR,ALL STAR
454,Air Class,\N,,ASS,AIR CLASS
455,Aerlineas Del Oeste,\N,,AST,Mexico
456,Aviones Are,\N,,NRE,Mexico
457,Air Nepal International,\N,,NPL,Nepal
458,Air Napier,\N,,NPR,New Zealand
459,Air Taxi & Cargo,\N,,WAM,Sudan
460,Arrow Panama,\N,,WAP,Panama
461,Astravia-Bissau Air Transports Ltd.,\N,,ASV,Guinea-Bissau
462,Astrakhan Airlines,\N,OB,ASZ,Russia
463,Air Transport Association,\N,,ATA,United States
464,Atlantair Ltd.,\N,,ATB,Canada
465,Air Tanzania,\N,TC,ATC,Tanzania
466,Aerotours Dominicana,\N,,ATD,Dominican Republic
467,Atlantis Transportation Services,\N,,ATE,ATLANTIS CANADA
468,Aerotrans Airline,\N,,ATG,Kazakhstan
469,Air Charter World,\N,,XAC,United States
470,Air Burkina,\N,2J,VBW,Burkina Faso
471,Air Travel Corp.,\N,,ATH,United States
472,Aero-Tropics Air Services,\N,HC,ATI,Australia
473,Air Traffic GmbH,\N,,ATJ,Germany
474,AeroTACA,\N,,ATK,Colombia
475,Aerocentral,\N,,ATL,Mexico
476,Airlines Of Tasmania,\N,FO,ATM,Australia
477,Air Saint Pierre,\N,PJ,SPM,France
478,Air Transport International,\N,8C,ATN,United States
479,ASTRAL Colombia - Aerotransportes Especiales Ltda.,\N,,ATP,Colombia
480,Air Transport Schiphol,\N,,ATQ,Netherlands
481,Aeroferinco,\N,,FEO,Mexico
482,Aero Taxis Y Servicios Alfe,\N,,FES,Mexico
483,Avialesookhrana,\N,,FFA,Russia
484,Africair Service,\N,,FFB,Senegal
485,Atlas Airlines,\N,,ATR,United States
486,Air Transport Service,\N,,ATS,Democratic Republic of the Congo
487,Aer Turas,\N,,ATT,Ireland
488,Atlant Aerobatics Ltd.,\N,,ATU,Hungary
489,Avanti Air,\N,,ATV,Germany
490,Aero Trades (Western) Ltd.,\N,,ATW,Canada
491,Austrian Airlines,\N,OS,AUA,Austria
492,Air Southwest,\N,,WOW,United Kingdom
493,Augsburg Airways,\N,IQ,AUB,Germany
494,Air Corporate,\N,,CPV,Italy
495,Aviastar-Tu,\N,,TUP,Russia
496,AirBridge Cargo,\N,RU,ABW,Russia
497,ATUR,\N,,TUR,Ecuador
498,ATESA Aerotaxis Ecuatorianos,\N,,TXU,Ecuador
499,Austin Express,\N,,TXX,United States
500,Audi Air,\N,,AUD,AUDI AIR
501,Augusta Air Luftfahrtunternehmen,\N,,AUF,Germany
502,Abu Dhabi Amiri Flight,\N,MO,AUH,United Arab Emirates
503,Aeroflot-Nord,\N,5N,AUL,Russia
504,Air Atlantic Uruguay,\N,,AUM,Uruguay
505,Aviones Unidos,\N,,AUN,Mexico
506,Avia Business Group,\N,,AUP,Russia
507,Aero Servicios Expecializados,\N,,SVE,Mexico
508,Aurigny Air Services,\N,GR,AUR,United Kingdom
509,Aus-Air,\N,NO,AUS,Australia
510,Austral Lineas Aereas,\N,AU,AUT,Argentina
511,Aurora Aviation,\N,,AUU,AURORA AIR
512,Air Uganda International Ltd.,\N,,AUX,Uganda
513,Aerolineas Uruguayas,\N,,AUY,AUSA
514,Australian Airlines,\N,AO,AUZ,Australia
515,Avianca - Aerovias Nacionales de Colombia,\N,AV,AVA,AVIANCA
516,Aviation Beaufort,\N,,AVB,United Kingdom
517,Alamo Aviacion,\N,,AVD,ALAMO
518,Aviair Aviation Ltd.,\N,,AVF,Canada
519,Air Falcon,\N,,AVG,Djibouti
520,AV8 Helicopters,\N,,AVH,United Kingdom
521,Avia Traffic Company,\N,,AVJ,Kyrgyzstan
522,AV8 Helicopters,\N,,AVK,South Africa
523,Aviacion Ejecutiva Mexicana,\N,,AVM,AVEMEX
524,Air Vanuatu,\N,NF,AVN,Vanuatu
525,Aviation at Work,\N,,AVO,South Africa
526,Avcorp Registrations,\N,,AVP,United Kingdom
527,Alfa Aerospace,\N,,LFP,Australia
528,Atlantic Airfreight Aviation,\N,,LFR,Sao Tome and Principe
529,Aerolift Company,\N,,LFT,Sierra Leone
530,Aviation Services,\N,,AVQ,AQUILINE
531,Active Aero Charter,\N,,AVR,ACTIVE AERO
532,Avialsa T-35,\N,,AVS,Spain
533,Asia Avia Airlines,\N,,AVT,Indonesia
534,Avia Sud A,\N,,AVU,France
535,Airvantage Incorporated,\N,,AVV,United States
536,Aviator Airways,\N,,AVW,Greece
537,Aviapaslauga,\N,,AVX,Lithuania
538,ASL,\N,,XXX,Belgium
539,Air Yugoslavia,\N,,YRG,Serbia
540,Airlink Zambia,\N,K8,ZAK,Zambia
541,Agence Nationale des Aerodromes et de la Meteorologie,\N,,ZZM,Ivory Coast
542,Airbus Transport International,\N,,BGA,France
543,Air Bangladesh,\N,B9,BGD,Bangladesh
544,Aviodetachment-28,\N,,BGF,Bulgaria
545,Aero BG,\N,,BGG,Mexico
546,Aerotaxis De La Bahia,\N,,BHC,Mexico
547,Air Mediterranee,\N,DR,BIE,France
548,Aviaservice,\N,,BIV,Georgia
549,Aerolineas De El Salvador,\N,,SZA,El Salvador
550,Swaziland Airlink,\N,,SZL,Swaziland
551,Air Moorea,\N,,TAH,France
552,Aerovaradero,\N,,AVY,AEROVARADERO
553,Air Valencia,\N,,AVZ,Spain
554,Airways International,\N,,AWB,AIRNAT
555,Airwork,\N,,AWK,New Zealand
